season,fullName,TotalWickets,Overs,RunsConceded,AvgWickets,TotalMatches,MaxWickets,FoursConceded,SixesConceded,AvgEconomyRate,AvgRate,StrRate
2020,Abdul Samad,1,7,96,0.3333333333333333,3,1,4,8,17.25,96.0,42.0
2018,Ish Sodhi,5,23,135,0.8333333333333334,6,1,8,2,5.971666653951009,27.0,27.6
2010,Ryan Harris,14,30,233,1.75,8,3,22,7,7.522500038146973,16.642857142857142,12.857142857142858
2009,Ajit Agarkar,6,31,284,0.5454545454545454,11,2,31,9,10.23454544760964,47.333333333333336,31.0
2008,Piyush Chawla,17,46,389,1.1333333333333333,15,3,28,21,9.690666643778483,22.88235294117647,16.235294117647058
2019,Ravindra Jadeja,15,54,343,0.9375,16,3,22,10,6.478749990463257,22.866666666666667,21.6
2017,Harshal Patel,3,4,43,3.0,1,3,7,1,10.75,14.333333333333334,8.0
2016,Piyush Chawla,11,35,273,1.0,11,2,16,12,8.332727258855646,24.818181818181817,19.09090909090909
2015,Axar Patel,13,46,392,0.9285714285714286,14,2,23,21,8.42785712650844,30.153846153846153,21.23076923076923
2015,Pat Cummins,1,10,97,0.3333333333333333,3,1,8,5,9.583333333333334,97.0,60.0
2014,Dhawal Kulkarni,6,27,221,0.75,8,2,19,11,8.3125,36.833333333333336,27.0
2014,Vikramjeet Malik,1,3,29,1.0,1,1,4,1,9.65999984741211,29.0,18.0
2013,Umesh Yadav,16,57,508,1.0,16,4,58,13,8.786249995231628,31.75,21.375
2013,Suresh Raina,1,2,23,0.5,2,1,1,2,11.5,23.0,12.0
2012,RP Singh,10,41,318,0.9090909090909091,11,3,37,8,7.831818147139116,31.8,24.6
2021,Sandeep Sharma,3,23,203,0.42857142857142855,7,1,20,7,8.667142799922399,67.66666666666667,46.0
2020,Isuru Udana,8,29,282,0.8,10,2,26,11,9.448999977111816,35.25,21.75
2019,Shakib Al Hasan,2,10,95,0.6666666666666666,3,1,5,6,8.803333282470703,47.5,30.0
2017,Andrew Tye,12,21,141,2.0,6,5,11,4,7.0,11.75,10.5
2016,Praveen Kumar,9,50,401,0.5625,16,2,47,9,8.037500023841858,44.55555555555556,33.333333333333336
2013,Vikramjeet Malik,2,10,59,0.6666666666666666,3,2,8,0,5.829999923706055,29.5,30.0
2012,Ashish Reddy,11,27,237,1.2222222222222223,9,3,14,12,8.858888891008165,21.545454545454547,14.727272727272727
2009,Fidel Edwards,5,22,154,0.8333333333333334,6,2,20,2,6.646666685740153,30.8,26.4
2009,Yogesh Nagar,2,2,20,2.0,1,2,0,2,10.0,10.0,6.0
2008,Lakshmipathy Balaji,11,33,286,1.2222222222222223,9,5,30,9,8.61111111111111,26.0,18.0
2022,Umran Malik,22,49,444,1.5714285714285714,14,5,52,17,9.277857099260602,20.181818181818183,13.363636363636363
2022,Alzarri Joseph,7,30,264,0.7777777777777778,9,2,24,13,8.842222213745117,37.714285714285715,25.714285714285715
2021,Mustafizur Rahman,14,51,436,1.0,14,3,37,15,8.558571406773158,31.142857142857142,21.857142857142858
2021,Pat Cummins,9,26,237,1.2857142857142858,7,3,18,12,8.888571466718401,26.333333333333332,17.333333333333332
2019,Murugan Ashwin,5,34,255,0.5,10,2,20,6,7.890999984741211,51.0,40.8
2015,Shivam Sharma,1,3,44,1.0,1,1,5,2,14.65999984741211,44.0,18.0
2014,Rahul Sharma,1,6,65,0.5,2,1,3,5,10.829999923706055,65.0,36.0
2012,Pawan Negi,7,22,152,1.1666666666666667,6,4,9,7,7.179999987284343,21.714285714285715,18.857142857142858
2011,Ramesh Powar,2,12,112,0.4,5,1,8,6,10.15,56.0,36.0
2011,Jerome Taylor,6,19,157,1.2,5,3,10,9,8.00600004196167,26.166666666666668,19.0
2008,Shane Watson,17,54,383,1.1333333333333333,15,3,53,6,6.923333326975505,22.529411764705884,19.058823529411764
