fullName,Matches,TotalMatches,Overs,RunsConceded,TotalWickets,AvgRate,AvgEconomyRate,StrRate,4w,5w,AvgWickets
Krishnappa Gowtham,5,4,11.0,84,2,42.0,7.63,33.0,0,0,0.5
Kumar Kartikeya Singh,4,4,13.0,101,2,50.5,7.76,39.0,0,0,0.5
Adil Rashid,2,2,7.0,56,2,28.0,8.0,21.0,0,0,1.0
Yudhvir Singh,2,2,5.0,47,2,23.5,9.4,15.0,0,0,1.0
Jofra Archer,5,5,20.0,190,2,95.0,9.5,60.0,0,0,0.4
Deepak Chahar,5,5,16.0,153,2,76.5,9.56,48.0,0,0,0.4
Glenn Maxwell,10,6,9.2,91,2,45.5,9.75,28.0,0,0,0.3333333333333333
Michael Bracewell,2,2,5.0,50,2,25.0,10.0,15.0,0,0,1.0
Vaibhav Arora,2,2,5.0,54,2,27.0,10.8,15.0,0,0,1.0
Tim Southee,2,2,6.0,79,2,39.5,13.16,18.0,0,0,1.0
Chetan Sakariya,1,1,4.0,53,2,26.5,13.25,12.0,0,0,2.0
Liam Livingstone,5,4,5.0,67,2,33.5,13.4,15.0,0,0,0.5
Kulwant Khejroliya,2,2,4.2,64,2,32.0,14.76,13.0,0,0,1.0
Kuldip Yadav,1,1,3.0,18,1,18.0,6.0,18.0,0,0,1.0
Lalit Yadav,4,2,8.0,52,1,52.0,6.5,48.0,0,0,0.5
Reece Topley,1,1,2.0,14,1,14.0,7.0,12.0,0,0,1.0
Tristan Stubbs,2,1,2.0,14,1,14.0,7.0,12.0,0,0,1.0
Aiden Markram,8,4,7.0,56,1,56.0,8.0,42.0,0,0,0.25
Sisanda Magala,2,2,6.0,51,1,51.0,8.5,36.0,0,0,0.5
Abhishek Sharma,7,1,3.0,26,1,26.0,8.66,18.0,0,0,1.0
Rishi Dhawan,4,2,4.0,35,1,35.0,8.75,24.0,0,0,0.5
Rovman Powell,3,1,2.0,18,1,18.0,9.0,12.0,0,0,1.0
Umesh Yadav,8,8,19.0,189,1,189.0,9.94,114.0,0,0,0.125
Akeal Hosein,1,1,4.0,40,1,40.0,10.0,24.0,0,0,1.0
Akash Madhwal,2,2,4.0,41,1,41.0,10.25,24.0,0,0,0.5
Mustafizur Rahman,2,2,7.0,79,1,79.0,11.28,42.0,0,0,0.5
Akash Deep,2,2,5.0,59,1,59.0,11.8,30.0,0,0,0.5
Lockie Ferguson,3,3,7.4,96,1,96.0,12.52,46.0,0,0,0.3333333333333333
Duan Jansen,1,1,4.0,53,1,53.0,13.25,24.0,0,0,1.0
Kartik Tyagi,1,1,2.0,30,1,30.0,15.0,12.0,0,0,1.0
