fullName,Matches,TotalMatches,NO,SumRuns,HS,AvgRuns,TotalBalls,StrikeRate,Hundred,Fifty,fours,sixes,AvgSR
Wayne Parnell,4,,0,2,2,2.0,5,40.0,0,0,0,0,80.0
Mustafizur Rahman,2,1,1,1,1,,1,100.0,0,0,0,0,
Ishant Sharma,5,1,1,1,1,,1,100.0,0,0,0,0,
Rishi Dhawan,4,1,0,1,1,1.0,1,100.0,0,0,0,0,100.0
Abdul Basith,1,1,1,1,1,,1,100.0,0,0,0,0,
Mukesh Kumar,8,2,2,1,1,,2,50.0,0,0,0,0,
Mohit Rathee,1,1,1,1,1,,2,50.0,0,0,0,0,
Josh Hazlewood,2,1,1,1,1,,2,50.0,0,0,0,0,
Mohammed Siraj,10,2,1,1,1,1.0,2,50.0,0,0,0,0,50.0
Yudhvir Singh,2,2,0,1,1,0.5,2,50.0,0,0,0,0,25.0
Nathan Ellis,6,2,0,1,1,0.5,7,14.28,0,0,0,0,7.14
Varun Chakaravarthy,10,2,1,1,1,1.0,9,11.11,0,0,0,0,11.11
